 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(6, 4)" -1.0296 0.4143 0.0051 -1.8056 -0.191 5170.5265 1.0004
"p((6, 4))_0" 0.4508 0.222 0.0026 0.058 0.8624 5696.8417 1.0
"p((6, 4))_1" 0.3651 0.097 0.0012 0.1826 0.5552 5567.9216 1.0003
"p((6, 4))_2" 0.348 0.1073 0.0013 0.1459 0.5587 5089.6146 1.0004
"p((6, 4))_3" 0.3449 0.1111 0.0014 0.1412 0.5649 4995.527 1.0004
"p((6, 4))_4" 0.3444 0.1119 0.0014 0.1404 0.5669 4973.1314 1.0004
"p((6, 4))_5" 0.3443 0.1121 0.0014 0.1406 0.5676 4967.6739 1.0004
"p((6, 4))_6" 0.3443 0.1122 0.0014 0.1421 0.5693 4966.3602 1.0004
"p((6, 4))_7" 0.3443 0.1122 0.0014 0.1421 0.5693 4966.047 1.0004
"p((6, 4))_8" 0.3443 0.1122 0.0014 0.1421 0.5693 4965.9728 1.0004
"p((6, 4))_9" 0.3443 0.1122 0.0014 0.1421 0.5693 4965.9553 1.0004
"p((6, 4))_10" 0.3443 0.1122 0.0014 0.1421 0.5693 4965.9511 1.0004
