 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(9, 4)" -1.6071 0.4174 0.0219 -2.5125 -0.8671 280.3312 1.0001
"p((9, 4))_0" 0.4341 0.2208 0.0136 0.0661 0.8405 78.4739 1.0457
"p((9, 4))_1" 0.2453 0.077 0.004 0.1022 0.3964 266.0626 1.0125
"p((9, 4))_2" 0.2146 0.0757 0.0037 0.0723 0.3591 322.4591 1.0001
"p((9, 4))_3" 0.21 0.0761 0.0037 0.0723 0.3583 322.4107 0.9999
"p((9, 4))_4" 0.2093 0.0761 0.0037 0.0699 0.3557 322.1488 0.9999
"p((9, 4))_5" 0.2091 0.0761 0.0037 0.0675 0.3534 322.0785 0.9999
"p((9, 4))_6" 0.2091 0.0761 0.0037 0.0706 0.3565 322.0628 0.9999
"p((9, 4))_7" 0.2091 0.0761 0.0037 0.0706 0.3565 322.0596 0.9999
"p((9, 4))_8" 0.2091 0.0761 0.0037 0.0706 0.3565 322.0589 0.9999
"p((9, 4))_9" 0.2091 0.0761 0.0037 0.0706 0.3565 322.0588 0.9999
"p((9, 4))_10" 0.2091 0.0761 0.0037 0.0706 0.3565 322.0588 0.9999
