 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(48, 1)" -0.0048 0.9916 0.0123 -2.0279 1.8405 6230.7876 1.0001
"p((48, 1))_0" 0.5051 0.2225 0.0025 0.1042 0.9057 5888.3055 0.9999
"p((48, 1))_1" 0.6008 0.2027 0.0025 0.2332 0.9567 6258.3262 0.9999
"p((48, 1))_2" 0.6142 0.2266 0.0028 0.1917 0.9679 6215.3787 1.0
"p((48, 1))_3" 0.6161 0.2308 0.0028 0.188 0.9711 6195.9358 1.0
"p((48, 1))_4" 0.6165 0.2316 0.0028 0.1903 0.9746 6191.2761 1.0
"p((48, 1))_5" 0.6165 0.2317 0.0028 0.1901 0.9746 6190.2631 1.0
"p((48, 1))_6" 0.6165 0.2317 0.0028 0.19 0.9746 6190.0461 1.0
"p((48, 1))_7" 0.6165 0.2317 0.0028 0.19 0.9746 6189.9992 1.0
"p((48, 1))_8" 0.6165 0.2317 0.0028 0.19 0.9746 6189.989 1.0
"p((48, 1))_9" 0.6165 0.2317 0.0028 0.19 0.9746 6189.9867 1.0
"p((48, 1))_10" 0.6165 0.2317 0.0028 0.19 0.9746 6189.9862 1.0
