 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(3, 4)" -1.0422 0.4292 0.0096 -1.8833 -0.1881 2124.4534 0.9998
"p((3, 4))_0" 0.4645 0.2233 0.0052 0.0798 0.8911 1662.8737 1.0012
"p((3, 4))_1" 0.3662 0.1033 0.0024 0.1648 0.5656 1795.2165 1.0004
"p((3, 4))_2" 0.3464 0.1103 0.0026 0.1382 0.565 1957.7744 0.9998
"p((3, 4))_3" 0.3426 0.1132 0.0026 0.1281 0.5669 1971.8527 0.9998
"p((3, 4))_4" 0.3419 0.1138 0.0027 0.12 0.5612 1971.4546 0.9998
"p((3, 4))_5" 0.3418 0.1139 0.0027 0.12 0.5613 1971.2215 0.9998
"p((3, 4))_6" 0.3417 0.114 0.0027 0.12 0.5614 1971.1614 0.9998
"p((3, 4))_7" 0.3417 0.114 0.0027 0.12 0.5614 1971.1494 0.9998
"p((3, 4))_8" 0.3417 0.114 0.0027 0.12 0.5614 1971.1475 0.9998
"p((3, 4))_9" 0.3417 0.114 0.0027 0.12 0.5614 1971.1474 0.9998
"p((3, 4))_10" 0.3417 0.114 0.0027 0.12 0.5614 1971.1474 0.9998
