 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(38, 1)" 0.0066 0.9762 0.0117 -1.876 1.9625 6110.144 0.9998
"p((38, 1))_0" 0.4986 0.2229 0.0026 0.1053 0.9173 5956.0196 0.9999
"p((38, 1))_1" 0.6027 0.2003 0.0024 0.2349 0.9518 6171.2941 0.9998
"p((38, 1))_2" 0.6178 0.2244 0.0027 0.195 0.9667 6165.619 0.9997
"p((38, 1))_3" 0.6201 0.2286 0.0027 0.1958 0.9756 6148.8058 0.9997
"p((38, 1))_4" 0.6205 0.2294 0.0027 0.1887 0.9699 6144.6175 0.9997
"p((38, 1))_5" 0.6205 0.2295 0.0027 0.1885 0.9699 6143.6553 0.9997
"p((38, 1))_6" 0.6205 0.2295 0.0027 0.1885 0.9699 6143.438 0.9997
"p((38, 1))_7" 0.6205 0.2295 0.0027 0.1885 0.9699 6143.3887 0.9997
"p((38, 1))_8" 0.6205 0.2295 0.0027 0.1885 0.9699 6143.3775 0.9997
"p((38, 1))_9" 0.6205 0.2295 0.0027 0.1885 0.9699 6143.3749 0.9997
"p((38, 1))_10" 0.6205 0.2295 0.0027 0.1885 0.9699 6143.3743 0.9997
