 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(13, 2)" -1.2594 0.3124 0.0059 -1.8737 -0.6634 2598.783 0.9999
"p((13, 2))_0" 0.4042 0.2079 0.0038 0.0405 0.7946 3064.8711 1.0006
"p((13, 2))_1" 0.3033 0.072 0.0013 0.1665 0.4383 2718.3571 1.0009
"p((13, 2))_2" 0.2836 0.0734 0.0014 0.1497 0.4299 2338.6468 1.0003
"p((13, 2))_3" 0.2801 0.0754 0.0015 0.1458 0.435 2279.1948 1.0002
"p((13, 2))_4" 0.2795 0.0758 0.0015 0.145 0.4353 2265.2837 1.0001
"p((13, 2))_5" 0.2794 0.0759 0.0015 0.1428 0.4333 2261.9016 1.0001
"p((13, 2))_6" 0.2793 0.0759 0.0015 0.1428 0.4334 2261.0934 1.0001
"p((13, 2))_7" 0.2793 0.0759 0.0015 0.1428 0.4334 2260.9027 1.0001
"p((13, 2))_8" 0.2793 0.0759 0.0015 0.1428 0.4334 2260.8579 1.0001
"p((13, 2))_9" 0.2793 0.0759 0.0015 0.1428 0.4334 2260.8474 1.0001
"p((13, 2))_10" 0.2793 0.0759 0.0015 0.1428 0.4334 2260.8449 1.0001
