 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(7, 4)" -1.2006 0.3488 0.0253 -1.8811 -0.5092 99.0158 1.054
"p((7, 4))_0" 0.4743 0.2264 0.0188 0.076 0.8833 44.523 1.0332
"p((7, 4))_1" 0.3322 0.085 0.0065 0.1642 0.4965 75.2455 1.0187
"p((7, 4))_2" 0.3028 0.0852 0.0062 0.1326 0.4551 100.7227 1.0452
"p((7, 4))_3" 0.2972 0.0871 0.0064 0.1324 0.4629 96.4208 1.0522
"p((7, 4))_4" 0.2961 0.0875 0.0064 0.1325 0.4639 94.3756 1.0538
"p((7, 4))_5" 0.2959 0.0876 0.0064 0.1324 0.4636 93.863 1.0541
"p((7, 4))_6" 0.2959 0.0876 0.0064 0.1324 0.4634 93.7368 1.0542
"p((7, 4))_7" 0.2959 0.0876 0.0064 0.1324 0.4635 93.706 1.0543
"p((7, 4))_8" 0.2959 0.0876 0.0064 0.1324 0.4635 93.6985 1.0543
"p((7, 4))_9" 0.2959 0.0876 0.0064 0.1324 0.4635 93.6967 1.0543
"p((7, 4))_10" 0.2959 0.0876 0.0064 0.1324 0.4635 93.6962 1.0543
