 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(32, 1)" 0.0035 1.0109 0.0124 -1.9857 1.9448 5437.3373 0.9999
"p((32, 1))_0" 0.4981 0.2203 0.0028 0.0989 0.8993 5667.1007 0.9998
"p((32, 1))_1" 0.6021 0.2071 0.0025 0.2101 0.9498 5471.172 1.0
"p((32, 1))_2" 0.6168 0.2306 0.0028 0.1738 0.9638 5464.189 0.9999
"p((32, 1))_3" 0.6189 0.2347 0.0029 0.1691 0.9647 5457.9652 0.9999
"p((32, 1))_4" 0.6192 0.2354 0.0029 0.1681 0.9647 5456.2545 0.9999
"p((32, 1))_5" 0.6193 0.2355 0.0029 0.1679 0.9647 5455.8671 0.9999
"p((32, 1))_6" 0.6193 0.2355 0.0029 0.1679 0.9647 5455.7826 0.9999
"p((32, 1))_7" 0.6193 0.2355 0.0029 0.1679 0.9647 5455.764 0.9999
"p((32, 1))_8" 0.6193 0.2355 0.0029 0.1679 0.9647 5455.7599 0.9999
"p((32, 1))_9" 0.6193 0.2355 0.0029 0.1679 0.9647 5455.759 0.9999
"p((32, 1))_10" 0.6193 0.2355 0.0029 0.1679 0.9647 5455.7588 0.9999
