 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(6, 1)" 0.0056 1.0148 0.0123 -2.0322 1.9687 6180.5006 1.0
"p((6, 1))_0" 0.5037 0.2216 0.003 0.103 0.9073 5453.8748 0.9997
"p((6, 1))_1" 0.6024 0.2065 0.0024 0.2179 0.9521 6207.6699 0.9999
"p((6, 1))_2" 0.6161 0.2303 0.0026 0.1818 0.9711 6240.6997 0.9999
"p((6, 1))_3" 0.6181 0.2345 0.0027 0.1771 0.9737 6239.7652 0.9999
"p((6, 1))_4" 0.6184 0.2352 0.0027 0.1759 0.9737 6238.9688 0.9999
"p((6, 1))_5" 0.6185 0.2353 0.0027 0.1758 0.9737 6238.7341 0.9999
"p((6, 1))_6" 0.6185 0.2353 0.0027 0.1757 0.9737 6238.6741 0.9999
"p((6, 1))_7" 0.6185 0.2353 0.0027 0.1757 0.9737 6238.6594 0.9999
"p((6, 1))_8" 0.6185 0.2353 0.0027 0.1757 0.9737 6238.6559 0.9999
"p((6, 1))_9" 0.6185 0.2353 0.0027 0.1757 0.9737 6238.655 0.9999
"p((6, 1))_10" 0.6185 0.2353 0.0027 0.1757 0.9737 6238.6548 0.9999
