 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(49, 3)" -0.409 0.6416 0.0262 -1.7181 0.8054 505.6919 1.0034
"p((49, 3))_0" 0.4603 0.2266 0.0071 0.0709 0.882 817.182 1.0026
"p((49, 3))_1" 0.5122 0.1453 0.0055 0.2372 0.8041 597.7937 1.002
"p((49, 3))_2" 0.5237 0.1706 0.0066 0.1959 0.8399 557.6024 1.0027
"p((49, 3))_3" 0.5261 0.1766 0.0068 0.1776 0.8373 556.4143 1.0029
"p((49, 3))_4" 0.5266 0.1778 0.0069 0.1764 0.8379 556.4532 1.0029
"p((49, 3))_5" 0.5267 0.1781 0.0069 0.1762 0.8379 556.4736 1.0029
"p((49, 3))_6" 0.5267 0.1781 0.0069 0.1763 0.838 556.4773 1.0029
"p((49, 3))_7" 0.5268 0.1781 0.0069 0.1763 0.838 556.4776 1.0029
"p((49, 3))_8" 0.5268 0.1781 0.0069 0.1763 0.838 556.4776 1.0029
"p((49, 3))_9" 0.5268 0.1781 0.0069 0.1763 0.838 556.4776 1.0029
"p((49, 3))_10" 0.5268 0.1781 0.0069 0.1763 0.838 556.4775 1.0029
