 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(39, 1)" -0.0104 0.9757 0.0133 -1.8022 2.0361 5641.223 1.0004
"p((39, 1))_0" 0.5016 0.2247 0.0031 0.1116 0.9154 6083.3168 1.0006
"p((39, 1))_1" 0.6001 0.2035 0.0028 0.2279 0.949 5615.0243 1.0003
"p((39, 1))_2" 0.6145 0.2256 0.0031 0.1985 0.9693 5485.6224 1.0002
"p((39, 1))_3" 0.6166 0.2296 0.0031 0.1909 0.9679 5444.4687 1.0001
"p((39, 1))_4" 0.617 0.2302 0.0031 0.1872 0.9654 5433.2903 1.0001
"p((39, 1))_5" 0.6171 0.2304 0.0031 0.187 0.9654 5430.5063 1.0001
"p((39, 1))_6" 0.6171 0.2304 0.0031 0.187 0.9654 5429.8376 1.0001
"p((39, 1))_7" 0.6171 0.2304 0.0031 0.187 0.9654 5429.6793 1.0001
"p((39, 1))_8" 0.6171 0.2304 0.0031 0.187 0.9654 5429.642 1.0001
"p((39, 1))_9" 0.6171 0.2304 0.0031 0.187 0.9654 5429.6332 1.0001
"p((39, 1))_10" 0.6171 0.2304 0.0031 0.187 0.9654 5429.6311 1.0001
