 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(28, 3)" -1.0261 0.4209 0.017 -1.8757 -0.2084 541.2114 1.0001
"p((28, 3))_0" 0.4729 0.2239 0.0066 0.092 0.8968 937.7368 1.001
"p((28, 3))_1" 0.3714 0.1036 0.0042 0.1652 0.5705 501.2699 1.0001
"p((28, 3))_2" 0.3504 0.1104 0.0048 0.133 0.5593 469.3628 1.0002
"p((28, 3))_3" 0.3464 0.1133 0.0049 0.1372 0.5704 470.215 1.0003
"p((28, 3))_4" 0.3456 0.1139 0.0049 0.1328 0.5672 470.4962 1.0003
"p((28, 3))_5" 0.3454 0.114 0.0049 0.1325 0.5674 470.5503 1.0003
"p((28, 3))_6" 0.3454 0.1141 0.0049 0.1327 0.5676 470.5626 1.0003
"p((28, 3))_7" 0.3454 0.1141 0.0049 0.1327 0.5677 470.5661 1.0003
"p((28, 3))_8" 0.3454 0.1141 0.0049 0.1327 0.5677 470.5671 1.0003
"p((28, 3))_9" 0.3454 0.1141 0.0049 0.1327 0.5677 470.5675 1.0003
"p((28, 3))_10" 0.3454 0.1141 0.0049 0.1327 0.5677 470.5676 1.0003
