 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(68, 3)" -0.0065 1.0124 0.0127 -1.9437 1.9223 6293.1187 0.9999
"p((68, 3))_0" 0.4973 0.2223 0.0029 0.1074 0.9049 5860.5918 0.9998
"p((68, 3))_1" 0.5995 0.2064 0.0025 0.2103 0.9427 6132.4987 1.0
"p((68, 3))_2" 0.6137 0.2311 0.0028 0.1829 0.966 6049.8047 1.0
"p((68, 3))_3" 0.6157 0.2354 0.0029 0.1859 0.9774 6011.8388 1.0
"p((68, 3))_4" 0.616 0.2362 0.0029 0.1778 0.9699 6004.1943 1.0
"p((68, 3))_5" 0.616 0.2363 0.0029 0.1775 0.9699 6002.6699 1.0
"p((68, 3))_6" 0.6161 0.2363 0.0029 0.1775 0.9699 6002.362 1.0
"p((68, 3))_7" 0.6161 0.2363 0.0029 0.1775 0.9699 6002.2985 1.0
"p((68, 3))_8" 0.6161 0.2363 0.0029 0.1775 0.9699 6002.2851 1.0
"p((68, 3))_9" 0.6161 0.2363 0.0029 0.1775 0.9699 6002.2822 1.0
"p((68, 3))_10" 0.6161 0.2363 0.0029 0.1775 0.9699 6002.2816 1.0
