 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(59, 3)" -0.0043 1.0076 0.0134 -1.9814 1.9821 6289.2713 0.9999
"p((59, 3))_0" 0.4985 0.2224 0.0028 0.1213 0.9173 6001.5608 1.0003
"p((59, 3))_1" 0.5997 0.2055 0.0028 0.221 0.9531 6165.3768 1.0
"p((59, 3))_2" 0.614 0.229 0.0031 0.1831 0.9679 6185.3837 0.9999
"p((59, 3))_3" 0.6161 0.233 0.0032 0.1706 0.9643 6175.4491 0.9999
"p((59, 3))_4" 0.6165 0.2337 0.0032 0.1696 0.9643 6172.8052 0.9999
"p((59, 3))_5" 0.6165 0.2339 0.0032 0.1695 0.9643 6172.1974 0.9999
"p((59, 3))_6" 0.6165 0.2339 0.0032 0.1694 0.9643 6172.0633 0.9999
"p((59, 3))_7" 0.6166 0.2339 0.0032 0.1694 0.9643 6172.0341 0.9999
"p((59, 3))_8" 0.6166 0.2339 0.0032 0.1694 0.9643 6172.0279 0.9999
"p((59, 3))_9" 0.6166 0.2339 0.0032 0.1694 0.9643 6172.0265 0.9999
"p((59, 3))_10" 0.6166 0.2339 0.0032 0.1694 0.9643 6172.0262 0.9999
