 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(25, 1)" -0.0107 1.0059 0.0117 -2.0226 1.8902 6425.3702 0.9999
"p((25, 1))_0" 0.5022 0.2278 0.003 0.0763 0.903 6207.413 1.0002
"p((25, 1))_1" 0.5997 0.2058 0.0022 0.2108 0.9487 6453.7933 0.9999
"p((25, 1))_2" 0.6135 0.2303 0.0026 0.1821 0.9709 6406.0096 0.9999
"p((25, 1))_3" 0.6155 0.2347 0.0027 0.1799 0.9758 6390.6498 0.9999
"p((25, 1))_4" 0.6158 0.2354 0.0027 0.1645 0.9615 6387.1618 0.9999
"p((25, 1))_5" 0.6159 0.2355 0.0027 0.1645 0.9615 6386.4257 0.9999
"p((25, 1))_6" 0.6159 0.2356 0.0027 0.1645 0.9615 6386.2723 0.9999
"p((25, 1))_7" 0.6159 0.2356 0.0027 0.1645 0.9615 6386.2402 0.9999
"p((25, 1))_8" 0.6159 0.2356 0.0027 0.1645 0.9615 6386.2333 0.9999
"p((25, 1))_9" 0.6159 0.2356 0.0027 0.1645 0.9615 6386.2319 0.9999
"p((25, 1))_10" 0.6159 0.2356 0.0027 0.1645 0.9615 6386.2315 0.9999
