 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(15, 1)" -0.0221 1.0046 0.0128 -1.9695 1.9858 5682.0137 0.9998
"p((15, 1))_0" 0.4987 0.225 0.0027 0.0869 0.8934 5762.8798 0.9998
"p((15, 1))_1" 0.5963 0.2062 0.0025 0.2079 0.9424 5806.9543 0.9998
"p((15, 1))_2" 0.6104 0.2291 0.0028 0.185 0.9727 5773.021 0.9997
"p((15, 1))_3" 0.6125 0.2331 0.0029 0.1763 0.9716 5765.6877 0.9997
"p((15, 1))_4" 0.6128 0.2338 0.0029 0.1761 0.9724 5764.2264 0.9997
"p((15, 1))_5" 0.6129 0.2339 0.0029 0.1761 0.9724 5763.9557 0.9997
"p((15, 1))_6" 0.6129 0.234 0.0029 0.1761 0.9724 5763.9071 0.9997
"p((15, 1))_7" 0.6129 0.234 0.0029 0.1761 0.9724 5763.8985 0.9997
"p((15, 1))_8" 0.6129 0.234 0.0029 0.1761 0.9724 5763.897 0.9997
"p((15, 1))_9" 0.6129 0.234 0.0029 0.1761 0.9724 5763.8967 0.9997
"p((15, 1))_10" 0.6129 0.234 0.0029 0.1761 0.9724 5763.8967 0.9997
