 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(3, 1)" 0.0029 0.9875 0.0135 -1.8593 1.9208 6444.1494 0.9999
"p((3, 1))_0" 0.498 0.2228 0.0031 0.0981 0.9047 5786.7254 0.9999
"p((3, 1))_1" 0.6013 0.2047 0.0028 0.2213 0.9433 6529.297 0.9999
"p((3, 1))_2" 0.6157 0.228 0.0031 0.1931 0.9643 6479.5764 0.9998
"p((3, 1))_3" 0.6177 0.2321 0.0031 0.1926 0.9698 6455.8896 0.9998
"p((3, 1))_4" 0.6181 0.2328 0.0031 0.1918 0.9698 6449.8754 0.9998
"p((3, 1))_5" 0.6181 0.2329 0.0031 0.1916 0.9698 6448.483 0.9998
"p((3, 1))_6" 0.6181 0.233 0.0031 0.1916 0.9698 6448.1673 0.9998
"p((3, 1))_7" 0.6181 0.233 0.0031 0.1916 0.9698 6448.0959 0.9998
"p((3, 1))_8" 0.6181 0.233 0.0031 0.1916 0.9698 6448.0798 0.9998
"p((3, 1))_9" 0.6181 0.233 0.0031 0.1916 0.9698 6448.0762 0.9998
"p((3, 1))_10" 0.6181 0.233 0.0031 0.1916 0.9698 6448.0753 0.9998
