 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(11, 2)" -1.697 0.3822 0.0215 -2.41 -0.8917 228.9838 1.0235
"p((11, 2))_0" 0.4423 0.1977 0.0146 0.0842 0.8126 56.9551 1.062
"p((11, 2))_1" 0.23 0.0709 0.0043 0.1004 0.3696 215.991 1.0045
"p((11, 2))_2" 0.1964 0.0675 0.004 0.0663 0.3286 207.4025 1.0239
"p((11, 2))_3" 0.1914 0.0672 0.004 0.0643 0.323 190.8294 1.0302
"p((11, 2))_4" 0.1907 0.0671 0.0041 0.0641 0.3223 187.8004 1.0314
"p((11, 2))_5" 0.1906 0.067 0.0041 0.0641 0.3224 187.2515 1.0316
"p((11, 2))_6" 0.1905 0.067 0.0041 0.0641 0.3224 187.1501 1.0316
"p((11, 2))_7" 0.1905 0.067 0.0041 0.0641 0.3224 187.1309 1.0316
"p((11, 2))_8" 0.1905 0.067 0.0041 0.0641 0.3225 187.1272 1.0316
"p((11, 2))_9" 0.1905 0.067 0.0041 0.0641 0.3225 187.1264 1.0316
"p((11, 2))_10" 0.1905 0.067 0.0041 0.0641 0.3225 187.1263 1.0316
