 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(22, 3)" -0.857 0.4471 0.0052 -1.7258 0.0132 5366.1005 0.9997
"p((22, 3))_0" 0.4956 0.2185 0.0032 0.1158 0.9072 5142.3947 0.9999
"p((22, 3))_1" 0.4153 0.1096 0.0012 0.211 0.6292 5448.2897 0.9998
"p((22, 3))_2" 0.3984 0.1224 0.0014 0.1683 0.6336 5460.493 0.9998
"p((22, 3))_3" 0.395 0.1267 0.0015 0.1639 0.6441 5453.3907 0.9998
"p((22, 3))_4" 0.3944 0.1277 0.0015 0.1627 0.6456 5451.449 0.9998
"p((22, 3))_5" 0.3942 0.1279 0.0015 0.1625 0.6458 5450.9879 0.9998
"p((22, 3))_6" 0.3942 0.1279 0.0015 0.1624 0.646 5450.8808 0.9998
"p((22, 3))_7" 0.3942 0.1279 0.0015 0.1624 0.6461 5450.8559 0.9998
"p((22, 3))_8" 0.3942 0.1279 0.0015 0.1624 0.6461 5450.8501 0.9998
"p((22, 3))_9" 0.3942 0.1279 0.0015 0.1624 0.6461 5450.8487 0.9998
"p((22, 3))_10" 0.3942 0.1279 0.0015 0.1624 0.6461 5450.8484 0.9998
