 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(56, 3)" 0.0018 1.007 0.0131 -1.9502 1.9619 5861.448 1.0005
"p((56, 3))_0" 0.4986 0.2229 0.0027 0.1012 0.9041 5998.0311 1.0001
"p((56, 3))_1" 0.6012 0.2078 0.0028 0.2095 0.9442 5543.5815 1.0005
"p((56, 3))_2" 0.6159 0.2312 0.0031 0.1774 0.962 5592.3954 1.0006
"p((56, 3))_3" 0.618 0.2353 0.0032 0.171 0.9622 5588.9083 1.0006
"p((56, 3))_4" 0.6184 0.236 0.0032 0.1705 0.9628 5586.3492 1.0006
"p((56, 3))_5" 0.6184 0.2361 0.0032 0.1697 0.9622 5585.5938 1.0006
"p((56, 3))_6" 0.6184 0.2361 0.0032 0.1697 0.9622 5585.4085 1.0006
"p((56, 3))_7" 0.6184 0.2361 0.0032 0.1697 0.9622 5585.3664 1.0006
"p((56, 3))_8" 0.6184 0.2361 0.0032 0.1697 0.9622 5585.3573 1.0006
"p((56, 3))_9" 0.6184 0.2361 0.0032 0.1697 0.9622 5585.3555 1.0006
"p((56, 3))_10" 0.6184 0.2361 0.0032 0.1697 0.9622 5585.3551 1.0006
