 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(7, 2)" -1.1482 0.3368 0.0068 -1.8593 -0.5279 2543.318 1.0032
"p((7, 2))_0" 0.4622 0.2205 0.0036 0.0531 0.8499 3884.4459 0.9998
"p((7, 2))_1" 0.3397 0.0799 0.0014 0.1848 0.4925 3141.5073 1.0034
"p((7, 2))_2" 0.3145 0.084 0.0017 0.1525 0.4731 2442.3309 1.0041
"p((7, 2))_3" 0.3097 0.0868 0.0018 0.1368 0.4664 2353.3735 1.0039
"p((7, 2))_4" 0.3088 0.0873 0.0018 0.1357 0.4664 2334.6751 1.0039
"p((7, 2))_5" 0.3087 0.0874 0.0018 0.1348 0.4656 2330.4347 1.0039
"p((7, 2))_6" 0.3086 0.0875 0.0018 0.1348 0.4656 2329.4554 1.0039
"p((7, 2))_7" 0.3086 0.0875 0.0018 0.1348 0.4656 2329.2292 1.0039
"p((7, 2))_8" 0.3086 0.0875 0.0018 0.1348 0.4656 2329.1769 1.0039
"p((7, 2))_9" 0.3086 0.0875 0.0018 0.1348 0.4656 2329.1648 1.0039
"p((7, 2))_10" 0.3086 0.0875 0.0018 0.1348 0.4656 2329.162 1.0039
