 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(16, 1)" 0.0219 0.9836 0.0123 -1.8508 1.9832 5557.5873 1.0
"p((16, 1))_0" 0.4973 0.2215 0.0028 0.0846 0.8892 5916.4708 0.9998
"p((16, 1))_1" 0.6051 0.2025 0.0026 0.2284 0.9486 5848.2107 1.0
"p((16, 1))_2" 0.6205 0.2258 0.0029 0.1905 0.9642 5812.7763 1.0
"p((16, 1))_3" 0.6228 0.2298 0.0029 0.1845 0.9648 5803.1519 1.0
"p((16, 1))_4" 0.6232 0.2305 0.0029 0.1833 0.9648 5800.7536 1.0
"p((16, 1))_5" 0.6233 0.2306 0.0029 0.1845 0.9661 5800.2153 1.0
"p((16, 1))_6" 0.6233 0.2307 0.0029 0.1845 0.9661 5800.1028 1.0
"p((16, 1))_7" 0.6233 0.2307 0.0029 0.1845 0.9661 5800.0805 1.0
"p((16, 1))_8" 0.6233 0.2307 0.0029 0.1845 0.9661 5800.0764 1.0
"p((16, 1))_9" 0.6233 0.2307 0.0029 0.1845 0.9661 5800.0756 1.0
"p((16, 1))_10" 0.6233 0.2307 0.0029 0.1845 0.9661 5800.0755 1.0
