 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(57, 3)" -0.0057 0.9934 0.0119 -1.9056 1.9494 6123.9217 0.9998
"p((57, 3))_0" 0.4981 0.2225 0.0029 0.1081 0.9138 5825.1961 1.0002
"p((57, 3))_1" 0.6001 0.2042 0.0023 0.2113 0.9427 6176.3485 0.9998
"p((57, 3))_2" 0.6149 0.228 0.0025 0.1907 0.9721 6170.4691 0.9997
"p((57, 3))_3" 0.6171 0.2322 0.0026 0.1828 0.9717 6159.0226 0.9997
"p((57, 3))_4" 0.6175 0.2329 0.0026 0.181 0.9704 6156.1236 0.9997
"p((57, 3))_5" 0.6176 0.2331 0.0026 0.181 0.9707 6155.5115 0.9997
"p((57, 3))_6" 0.6176 0.2331 0.0026 0.181 0.9707 6155.3866 0.9997
"p((57, 3))_7" 0.6176 0.2331 0.0026 0.181 0.9707 6155.3609 0.9997
"p((57, 3))_8" 0.6176 0.2331 0.0026 0.181 0.9707 6155.3555 0.9997
"p((57, 3))_9" 0.6176 0.2331 0.0026 0.181 0.9707 6155.3543 0.9997
"p((57, 3))_10" 0.6176 0.2331 0.0026 0.181 0.9707 6155.354 0.9997
