 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(27, 1)" 0.0039 1.0034 0.0121 -2.0314 1.8743 5754.8951 1.0
"p((27, 1))_0" 0.5013 0.2226 0.0031 0.1039 0.9192 5202.3656 1.0002
"p((27, 1))_1" 0.602 0.2054 0.0025 0.2009 0.9356 5839.8769 0.9998
"p((27, 1))_2" 0.6166 0.2283 0.0028 0.1783 0.9666 5828.649 0.9999
"p((27, 1))_3" 0.6187 0.2323 0.0028 0.1737 0.9688 5818.8488 1.0
"p((27, 1))_4" 0.6191 0.233 0.0028 0.1727 0.9689 5816.2618 1.0
"p((27, 1))_5" 0.6192 0.2331 0.0028 0.1724 0.9689 5815.6674 1.0
"p((27, 1))_6" 0.6192 0.2331 0.0028 0.1724 0.9689 5815.5352 1.0
"p((27, 1))_7" 0.6192 0.2331 0.0028 0.1724 0.9689 5815.5059 1.0
"p((27, 1))_8" 0.6192 0.2331 0.0028 0.1724 0.9689 5815.4994 1.0
"p((27, 1))_9" 0.6192 0.2331 0.0028 0.1724 0.9689 5815.498 1.0
"p((27, 1))_10" 0.6192 0.2331 0.0028 0.1724 0.9689 5815.4977 1.0
