 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(2, 2)" -1.4294 0.2862 0.0158 -1.9548 -0.8736 288.7029 1.0038
"p((2, 2))_0" 0.411 0.2102 0.0099 0.0392 0.8091 373.1802 1.0032
"p((2, 2))_1" 0.2701 0.0634 0.0033 0.153 0.3985 308.9427 1.0082
"p((2, 2))_2" 0.2441 0.0606 0.0034 0.1398 0.3714 273.8534 1.0043
"p((2, 2))_3" 0.2396 0.0614 0.0035 0.1327 0.3654 271.8898 1.0034
"p((2, 2))_4" 0.2389 0.0615 0.0035 0.1325 0.3652 271.729 1.0032
"p((2, 2))_5" 0.2388 0.0615 0.0035 0.133 0.3656 271.7089 1.0031
"p((2, 2))_6" 0.2387 0.0615 0.0035 0.133 0.3656 271.7053 1.0031
"p((2, 2))_7" 0.2387 0.0615 0.0035 0.1331 0.3657 271.7049 1.0031
"p((2, 2))_8" 0.2387 0.0615 0.0035 0.1331 0.3657 271.7048 1.0031
"p((2, 2))_9" 0.2387 0.0615 0.0035 0.1331 0.3657 271.7048 1.0031
"p((2, 2))_10" 0.2387 0.0615 0.0035 0.1331 0.3657 271.7048 1.0031
