 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(16, 4)" -1.3487 0.3754 0.0257 -2.0661 -0.6294 129.9524 1.0288
"p((16, 4))_0" 0.4947 0.231 0.0169 0.0574 0.8869 98.3044 1.033
"p((16, 4))_1" 0.3057 0.0864 0.0059 0.1505 0.4732 140.7325 1.011
"p((16, 4))_2" 0.2694 0.0857 0.0059 0.1181 0.4359 129.8993 1.0241
"p((16, 4))_3" 0.2629 0.0867 0.006 0.1077 0.4283 124.265 1.0279
"p((16, 4))_4" 0.2618 0.0868 0.0061 0.1095 0.4303 122.7201 1.0288
"p((16, 4))_5" 0.2615 0.0868 0.0061 0.1101 0.4313 122.3057 1.029
"p((16, 4))_6" 0.2615 0.0868 0.0061 0.1095 0.4308 122.2083 1.0291
"p((16, 4))_7" 0.2615 0.0868 0.0061 0.1095 0.4307 122.1851 1.0291
"p((16, 4))_8" 0.2615 0.0868 0.0061 0.1095 0.4307 122.1796 1.0291
"p((16, 4))_9" 0.2615 0.0868 0.0061 0.1095 0.4307 122.1783 1.0291
"p((16, 4))_10" 0.2615 0.0868 0.0061 0.1095 0.4307 122.178 1.0291
