 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(54, 3)" 0.0243 0.9978 0.0123 -1.8918 1.9571 6226.3416 0.9999
"p((54, 3))_0" 0.4998 0.2241 0.0027 0.0933 0.8926 5799.5249 0.9998
"p((54, 3))_1" 0.6062 0.2046 0.0023 0.2271 0.9505 6333.4301 0.9998
"p((54, 3))_2" 0.621 0.2282 0.0026 0.1948 0.9681 6226.4254 0.9998
"p((54, 3))_3" 0.623 0.2323 0.0027 0.1942 0.9726 6202.5394 0.9998
"p((54, 3))_4" 0.6234 0.233 0.0027 0.1925 0.9719 6197.36 0.9998
"p((54, 3))_5" 0.6234 0.2332 0.0027 0.1923 0.9719 6196.2452 0.9998
"p((54, 3))_6" 0.6234 0.2332 0.0027 0.1923 0.9719 6196.0053 0.9998
"p((54, 3))_7" 0.6234 0.2332 0.0027 0.1923 0.9719 6195.9534 0.9998
"p((54, 3))_8" 0.6234 0.2332 0.0027 0.1923 0.9719 6195.9422 0.9998
"p((54, 3))_9" 0.6234 0.2332 0.0027 0.1923 0.9719 6195.9397 0.9998
"p((54, 3))_10" 0.6234 0.2332 0.0027 0.1923 0.9719 6195.9392 0.9998
