 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(52, 3)" 0.0251 0.9905 0.0118 -1.808 2.0112 5965.9901 1.0002
"p((52, 3))_0" 0.4966 0.2264 0.0028 0.0901 0.9101 5861.3508 0.9997
"p((52, 3))_1" 0.6053 0.2032 0.0024 0.233 0.9532 6018.1258 1.0001
"p((52, 3))_2" 0.6205 0.2265 0.0026 0.2004 0.973 6089.5523 1.0001
"p((52, 3))_3" 0.6227 0.2306 0.0027 0.1953 0.9736 6087.5223 1.0001
"p((52, 3))_4" 0.623 0.2313 0.0027 0.1942 0.9736 6083.6143 1.0001
"p((52, 3))_5" 0.6231 0.2314 0.0027 0.1939 0.9736 6082.7622 1.0001
"p((52, 3))_6" 0.6231 0.2314 0.0027 0.1939 0.9736 6082.5769 1.0001
"p((52, 3))_7" 0.6231 0.2314 0.0027 0.1939 0.9736 6082.5359 1.0001
"p((52, 3))_8" 0.6231 0.2314 0.0027 0.1939 0.9736 6082.5267 1.0001
"p((52, 3))_9" 0.6231 0.2314 0.0027 0.1939 0.9736 6082.5245 1.0001
"p((52, 3))_10" 0.6231 0.2314 0.0027 0.1939 0.9736 6082.5241 1.0001
