 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(55, 3)" 0.0021 1.0127 0.0133 -1.8452 2.105 6142.1013 1.0001
"p((55, 3))_0" 0.4993 0.2243 0.0028 0.0834 0.8929 5878.3132 1.0
"p((55, 3))_1" 0.6009 0.2077 0.0027 0.2105 0.9435 6061.162 1.0002
"p((55, 3))_2" 0.615 0.2309 0.0031 0.1955 0.9775 6124.2557 1.0002
"p((55, 3))_3" 0.617 0.2349 0.0031 0.1854 0.9747 6104.9167 1.0002
"p((55, 3))_4" 0.6173 0.2356 0.0031 0.1834 0.9742 6099.1472 1.0002
"p((55, 3))_5" 0.6174 0.2358 0.0031 0.1833 0.9742 6097.699 1.0002
"p((55, 3))_6" 0.6174 0.2358 0.0031 0.1832 0.9742 6097.3551 1.0002
"p((55, 3))_7" 0.6174 0.2358 0.0031 0.1832 0.9742 6097.2752 1.0002
"p((55, 3))_8" 0.6174 0.2358 0.0031 0.1832 0.9742 6097.2568 1.0002
"p((55, 3))_9" 0.6174 0.2358 0.0031 0.1832 0.9742 6097.2526 1.0002
"p((55, 3))_10" 0.6174 0.2358 0.0031 0.1832 0.9742 6097.2516 1.0002
