 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(40, 3)" -1.4275 0.4606 0.0308 -2.3893 -0.6339 107.6639 1.0281
"p((40, 3))_0" 0.5089 0.2204 0.0119 0.0997 0.8796 284.8077 1.003
"p((40, 3))_1" 0.2959 0.0988 0.0063 0.1131 0.4853 115.2424 1.0261
"p((40, 3))_2" 0.2571 0.0983 0.0066 0.0855 0.4444 102.4378 1.0287
"p((40, 3))_3" 0.2504 0.0984 0.0066 0.0842 0.4428 102.5446 1.0284
"p((40, 3))_4" 0.2492 0.0982 0.0066 0.0848 0.4423 102.5489 1.0283
"p((40, 3))_5" 0.249 0.0982 0.0066 0.0834 0.4408 102.5324 1.0283
"p((40, 3))_6" 0.249 0.0982 0.0066 0.0833 0.4405 102.525 1.0283
"p((40, 3))_7" 0.249 0.0982 0.0066 0.0833 0.4404 102.5226 1.0283
"p((40, 3))_8" 0.249 0.0982 0.0066 0.0833 0.4404 102.5219 1.0283
"p((40, 3))_9" 0.249 0.0982 0.0066 0.0833 0.4404 102.5217 1.0283
"p((40, 3))_10" 0.249 0.0982 0.0066 0.0833 0.4404 102.5217 1.0283
