 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(23, 4)" 0.005 1.004 0.0131 -1.9385 2.0182 5906.5898 0.9997
"p((23, 4))_0" 0.5074 0.2211 0.0032 0.1126 0.9118 5359.3022 1.0002
"p((23, 4))_1" 0.6035 0.2041 0.0027 0.2256 0.955 5864.5238 0.9998
"p((23, 4))_2" 0.6166 0.2282 0.003 0.1932 0.9767 5860.3543 0.9998
"p((23, 4))_3" 0.6184 0.2324 0.003 0.1853 0.9769 5849.4383 0.9998
"p((23, 4))_4" 0.6187 0.2332 0.003 0.1846 0.9769 5846.3982 0.9998
"p((23, 4))_5" 0.6188 0.2333 0.003 0.1845 0.9769 5845.6957 0.9998
"p((23, 4))_6" 0.6188 0.2333 0.003 0.1844 0.9769 5845.5415 0.9998
"p((23, 4))_7" 0.6188 0.2333 0.003 0.1844 0.9769 5845.5082 0.9998
"p((23, 4))_8" 0.6188 0.2333 0.003 0.1844 0.9769 5845.501 0.9998
"p((23, 4))_9" 0.6188 0.2333 0.003 0.1844 0.9769 5845.4994 0.9998
"p((23, 4))_10" 0.6188 0.2333 0.003 0.1844 0.9769 5845.499 0.9998
