 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(34, 3)" -1.6228 0.5422 0.0113 -2.7112 -0.6184 2191.2148 1.0005
"p((34, 3))_0" 0.4865 0.2268 0.0041 0.0969 0.9136 2631.2219 1.0003
"p((34, 3))_1" 0.2579 0.1041 0.0022 0.0711 0.4605 1898.0156 1.0009
"p((34, 3))_2" 0.2214 0.102 0.0023 0.0497 0.4189 1813.0496 1.0012
"p((34, 3))_3" 0.2157 0.1015 0.0023 0.0464 0.4114 1813.6348 1.0013
"p((34, 3))_4" 0.2147 0.1012 0.0023 0.0476 0.4121 1813.4333 1.0013
"p((34, 3))_5" 0.2146 0.1012 0.0023 0.048 0.4124 1813.4443 1.0013
"p((34, 3))_6" 0.2145 0.1011 0.0023 0.0481 0.4125 1813.4741 1.0013
"p((34, 3))_7" 0.2145 0.1011 0.0023 0.0481 0.4125 1813.4881 1.0013
"p((34, 3))_8" 0.2145 0.1011 0.0023 0.0481 0.4125 1813.493 1.0013
"p((34, 3))_9" 0.2145 0.1011 0.0023 0.048 0.4125 1813.4945 1.0013
"p((34, 3))_10" 0.2145 0.1011 0.0023 0.048 0.4125 1813.4949 1.0013
