 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(24, 4)" 0.0076 0.9891 0.0126 -1.8911 1.9082 5704.5022 1.0001
"p((24, 4))_0" 0.5047 0.2221 0.0026 0.1149 0.9185 6303.7355 1.0006
"p((24, 4))_1" 0.6037 0.2041 0.0026 0.2192 0.9345 6040.2067 1.0003
"p((24, 4))_2" 0.6176 0.2273 0.0029 0.1916 0.962 5915.1771 1.0004
"p((24, 4))_3" 0.6196 0.2314 0.0029 0.1858 0.963 5887.3786 1.0005
"p((24, 4))_4" 0.6199 0.2321 0.0029 0.185 0.963 5880.596 1.0005
"p((24, 4))_5" 0.62 0.2322 0.0029 0.1848 0.963 5879.0015 1.0005
"p((24, 4))_6" 0.62 0.2323 0.0029 0.1848 0.963 5878.6333 1.0005
"p((24, 4))_7" 0.62 0.2323 0.0029 0.1848 0.963 5878.5486 1.0005
"p((24, 4))_8" 0.62 0.2323 0.0029 0.1847 0.963 5878.5291 1.0005
"p((24, 4))_9" 0.62 0.2323 0.0029 0.1847 0.963 5878.5247 1.0005
"p((24, 4))_10" 0.62 0.2323 0.0029 0.1847 0.963 5878.5236 1.0005
