 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(28, 1)" -0.0128 1.0078 0.0141 -2.0024 1.897 4975.8329 0.9999
"p((28, 1))_0" 0.501 0.2227 0.0031 0.1047 0.9202 5720.2142 0.9997
"p((28, 1))_1" 0.5983 0.2073 0.0028 0.2116 0.948 5527.8412 1.0
"p((28, 1))_2" 0.6123 0.2304 0.0033 0.1776 0.968 5119.518 1.0
"p((28, 1))_3" 0.6144 0.2344 0.0034 0.1861 0.983 5087.8107 1.0
"p((28, 1))_4" 0.6148 0.2351 0.0034 0.167 0.9652 5083.1903 1.0
"p((28, 1))_5" 0.6148 0.2352 0.0034 0.1669 0.9652 5082.4911 1.0
"p((28, 1))_6" 0.6149 0.2352 0.0034 0.1669 0.9652 5082.4 1.0
"p((28, 1))_7" 0.6149 0.2352 0.0034 0.1669 0.9652 5082.3934 1.0
"p((28, 1))_8" 0.6149 0.2352 0.0034 0.1669 0.9652 5082.3949 1.0
"p((28, 1))_9" 0.6149 0.2352 0.0034 0.1669 0.9652 5082.3959 1.0
"p((28, 1))_10" 0.6149 0.2352 0.0034 0.1669 0.9652 5082.3963 1.0
