 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(15, 2)" -1.2953 0.3882 0.013 -2.0645 -0.566 688.5862 1.0005
"p((15, 2))_0" 0.4998 0.2139 0.0092 0.087 0.8691 497.6246 1.0016
"p((15, 2))_1" 0.3177 0.0862 0.0032 0.1536 0.4822 638.4329 1.002
"p((15, 2))_2" 0.2825 0.0897 0.0032 0.1248 0.4628 630.6428 1.0008
"p((15, 2))_3" 0.2762 0.0912 0.0033 0.1203 0.4642 611.426 1.0006
"p((15, 2))_4" 0.275 0.0914 0.0033 0.1201 0.4642 606.8158 1.0006
"p((15, 2))_5" 0.2748 0.0914 0.0033 0.1198 0.4642 605.7459 1.0006
"p((15, 2))_6" 0.2747 0.0914 0.0033 0.1162 0.4608 605.5003 1.0006
"p((15, 2))_7" 0.2747 0.0914 0.0033 0.1162 0.4607 605.4441 1.0006
"p((15, 2))_8" 0.2747 0.0914 0.0033 0.1162 0.4607 605.4312 1.0006
"p((15, 2))_9" 0.2747 0.0914 0.0033 0.1162 0.4607 605.4282 1.0006
"p((15, 2))_10" 0.2747 0.0914 0.0033 0.1162 0.4607 605.4275 1.0006
