 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(64, 3)" 0.0067 0.9968 0.0139 -1.9446 1.9766 5066.6392 1.0002
"p((64, 3))_0" 0.4975 0.2239 0.0029 0.0909 0.9043 6111.4553 1.0002
"p((64, 3))_1" 0.6012 0.2045 0.0027 0.2358 0.965 5261.0219 1.0001
"p((64, 3))_2" 0.6161 0.2269 0.0031 0.1983 0.9732 5167.9542 1.0001
"p((64, 3))_3" 0.6183 0.2308 0.0032 0.1874 0.9706 5151.5667 1.0002
"p((64, 3))_4" 0.6186 0.2315 0.0032 0.1861 0.9706 5147.385 1.0002
"p((64, 3))_5" 0.6187 0.2317 0.0032 0.1887 0.9734 5146.3419 1.0002
"p((64, 3))_6" 0.6187 0.2317 0.0032 0.1887 0.9734 5146.0891 1.0002
"p((64, 3))_7" 0.6187 0.2317 0.0032 0.1887 0.9734 5146.0288 1.0002
"p((64, 3))_8" 0.6187 0.2317 0.0032 0.1887 0.9734 5146.0145 1.0002
"p((64, 3))_9" 0.6187 0.2317 0.0032 0.1887 0.9734 5146.0112 1.0002
"p((64, 3))_10" 0.6187 0.2317 0.0032 0.1887 0.9734 5146.0104 1.0002
