 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(19, 3)" -0.8438 0.3719 0.0222 -1.5595 -0.0775 181.6332 1.0262
"p((19, 3))_0" 0.461 0.219 0.0136 0.0817 0.8746 101.8687 1.0087
"p((19, 3))_1" 0.4091 0.0951 0.0055 0.2285 0.6003 198.3717 1.0149
"p((19, 3))_2" 0.3979 0.1038 0.0062 0.1946 0.607 182.3005 1.0255
"p((19, 3))_3" 0.3957 0.1081 0.0065 0.1953 0.6215 175.9176 1.0269
"p((19, 3))_4" 0.3953 0.1091 0.0066 0.1932 0.6214 174.3344 1.0272
"p((19, 3))_5" 0.3952 0.1093 0.0066 0.1932 0.6218 173.9671 1.0272
"p((19, 3))_6" 0.3952 0.1094 0.0066 0.1936 0.6222 173.8817 1.0272
"p((19, 3))_7" 0.3951 0.1094 0.0066 0.1936 0.6222 173.8618 1.0272
"p((19, 3))_8" 0.3951 0.1094 0.0066 0.1936 0.6222 173.8572 1.0272
"p((19, 3))_9" 0.3951 0.1094 0.0066 0.1936 0.6222 173.8561 1.0272
"p((19, 3))_10" 0.3951 0.1094 0.0066 0.1936 0.6222 173.8559 1.0272
