 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(11, 3)" -0.6423 0.5265 0.0189 -1.7065 0.3902 701.5629 1.002
"p((11, 3))_0" 0.4737 0.2187 0.0075 0.0881 0.8891 834.5682 0.9998
"p((11, 3))_1" 0.461 0.1297 0.005 0.2061 0.7019 645.109 1.0021
"p((11, 3))_2" 0.459 0.1471 0.0055 0.1741 0.7365 672.8698 1.0021
"p((11, 3))_3" 0.4588 0.1521 0.0056 0.1789 0.7561 680.6541 1.002
"p((11, 3))_4" 0.4588 0.1533 0.0056 0.1747 0.7548 682.5924 1.002
"p((11, 3))_5" 0.4588 0.1535 0.0056 0.1746 0.7553 683.0652 1.002
"p((11, 3))_6" 0.4588 0.1535 0.0056 0.1746 0.7554 683.1805 1.002
"p((11, 3))_7" 0.4588 0.1535 0.0056 0.1746 0.7554 683.2088 1.002
"p((11, 3))_8" 0.4588 0.1536 0.0056 0.1746 0.7554 683.2157 1.002
"p((11, 3))_9" 0.4588 0.1536 0.0056 0.1746 0.7554 683.2174 1.002
"p((11, 3))_10" 0.4588 0.1536 0.0056 0.1746 0.7554 683.2178 1.002
