 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(25, 3)" -0.6716 0.4131 0.0149 -1.5219 0.1006 627.1718 1.001
"p((25, 3))_0" 0.468 0.2236 0.0075 0.0612 0.8674 858.0112 1.0038
"p((25, 3))_1" 0.4516 0.1084 0.0041 0.2415 0.676 562.2664 1.0012
"p((25, 3))_2" 0.4484 0.1188 0.0044 0.2247 0.6841 587.3227 1.0009
"p((25, 3))_3" 0.448 0.1233 0.0045 0.2087 0.6793 600.0536 1.0009
"p((25, 3))_4" 0.4479 0.1243 0.0045 0.2131 0.6872 603.1042 1.0009
"p((25, 3))_5" 0.4479 0.1246 0.0046 0.212 0.6865 603.8051 1.0009
"p((25, 3))_6" 0.4479 0.1246 0.0046 0.212 0.6865 603.967 1.0009
"p((25, 3))_7" 0.4479 0.1246 0.0046 0.212 0.6866 604.0048 1.0009
"p((25, 3))_8" 0.4479 0.1246 0.0046 0.212 0.6866 604.0137 1.0009
"p((25, 3))_9" 0.4479 0.1246 0.0046 0.212 0.6866 604.0158 1.0009
"p((25, 3))_10" 0.4479 0.1246 0.0046 0.212 0.6866 604.0163 1.0009
