 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(9, 1)" -1.1313 0.5088 0.019 -2.0931 -0.1505 710.2386 1.0013
"p((9, 1))_0" 0.4636 0.2216 0.0061 0.0621 0.866 1215.1444 1.0004
"p((9, 1))_1" 0.3487 0.1159 0.0045 0.1248 0.5598 622.5211 1.0014
"p((9, 1))_2" 0.3271 0.1255 0.0051 0.1035 0.5682 609.3682 1.001
"p((9, 1))_3" 0.3233 0.1284 0.0052 0.0889 0.562 612.0059 1.0009
"p((9, 1))_4" 0.3226 0.1289 0.0052 0.0866 0.5617 612.536 1.0009
"p((9, 1))_5" 0.3225 0.129 0.0052 0.0876 0.5633 612.6409 1.0009
"p((9, 1))_6" 0.3225 0.1291 0.0052 0.0888 0.5644 612.6657 1.0008
"p((9, 1))_7" 0.3224 0.1291 0.0052 0.0888 0.5644 612.6723 1.0008
"p((9, 1))_8" 0.3224 0.1291 0.0052 0.0888 0.5644 612.6741 1.0008
"p((9, 1))_9" 0.3224 0.1291 0.0052 0.0888 0.5644 612.6746 1.0008
"p((9, 1))_10" 0.3224 0.1291 0.0052 0.0888 0.5644 612.6748 1.0008
