 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(20, 3)" -0.9824 0.3615 0.0141 -1.6989 -0.2639 653.967 1.0002
"p((20, 3))_0" 0.4665 0.2221 0.0061 0.0549 0.8535 1228.9804 1.0027
"p((20, 3))_1" 0.3784 0.0915 0.0037 0.2116 0.5666 631.7399 1.0018
"p((20, 3))_2" 0.3594 0.097 0.004 0.1713 0.5471 577.3557 1.0003
"p((20, 3))_3" 0.3556 0.1003 0.0041 0.1672 0.5526 581.8361 1.0001
"p((20, 3))_4" 0.3548 0.101 0.0042 0.164 0.55 583.461 1.0001
"p((20, 3))_5" 0.3546 0.1012 0.0042 0.164 0.5503 583.8729 1.0001
"p((20, 3))_6" 0.3546 0.1012 0.0042 0.164 0.5505 583.9763 1.0001
"p((20, 3))_7" 0.3546 0.1012 0.0042 0.1642 0.5507 584.0026 1.0001
"p((20, 3))_8" 0.3546 0.1012 0.0042 0.1642 0.5507 584.0094 1.0001
"p((20, 3))_9" 0.3546 0.1012 0.0042 0.1642 0.5507 584.0112 1.0001
"p((20, 3))_10" 0.3546 0.1012 0.0042 0.1642 0.5507 584.0117 1.0001
