 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(21, 1)" 0.0174 1.0217 0.0131 -1.9418 2.0252 5765.4522 0.9999
"p((21, 1))_0" 0.501 0.2191 0.0027 0.1055 0.9034 5333.3975 0.9998
"p((21, 1))_1" 0.6037 0.2088 0.0026 0.2162 0.9523 5906.3409 0.9998
"p((21, 1))_2" 0.6178 0.232 0.003 0.1825 0.9696 5877.4437 0.9999
"p((21, 1))_3" 0.6198 0.2359 0.003 0.1743 0.9678 5867.0339 0.9999
"p((21, 1))_4" 0.6201 0.2366 0.003 0.1757 0.9702 5864.3458 0.9999
"p((21, 1))_5" 0.6202 0.2367 0.003 0.1755 0.9702 5863.6935 0.9999
"p((21, 1))_6" 0.6202 0.2368 0.003 0.1755 0.9702 5863.537 0.9999
"p((21, 1))_7" 0.6202 0.2368 0.003 0.1755 0.9702 5863.4995 0.9999
"p((21, 1))_8" 0.6202 0.2368 0.003 0.1755 0.9702 5863.4905 0.9999
"p((21, 1))_9" 0.6202 0.2368 0.003 0.1755 0.9702 5863.4884 0.9999
"p((21, 1))_10" 0.6202 0.2368 0.003 0.1755 0.9702 5863.4878 0.9999
