 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(11, 4)" -1.6466 0.5599 0.0191 -2.7389 -0.5788 727.7591 1.0001
"p((11, 4))_0" 0.4773 0.2173 0.006 0.0961 0.8923 1098.2604 1.0004
"p((11, 4))_1" 0.2523 0.1029 0.0037 0.0565 0.4456 651.8186 0.9998
"p((11, 4))_2" 0.2174 0.1023 0.0039 0.0438 0.4218 595.6687 0.9999
"p((11, 4))_3" 0.2121 0.1019 0.0039 0.0432 0.4203 587.5491 0.9999
"p((11, 4))_4" 0.2112 0.1017 0.0039 0.04 0.4169 585.8452 0.9999
"p((11, 4))_5" 0.2111 0.1017 0.0039 0.0381 0.4149 585.487 0.9999
"p((11, 4))_6" 0.2111 0.1017 0.0039 0.0381 0.4148 585.412 0.9999
"p((11, 4))_7" 0.2111 0.1017 0.0039 0.0381 0.4147 585.396 0.9999
"p((11, 4))_8" 0.211 0.1017 0.0039 0.0381 0.4147 585.3926 0.9999
"p((11, 4))_9" 0.211 0.1017 0.0039 0.0381 0.4147 585.3919 0.9999
"p((11, 4))_10" 0.211 0.1017 0.0039 0.0381 0.4147 585.3917 0.9999
