 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(45, 3)" -1.4012 0.405 0.0153 -2.2214 -0.6462 534.7704 1.0072
"p((45, 3))_0" 0.4763 0.2249 0.0088 0.067 0.8813 630.6423 1.0035
"p((45, 3))_1" 0.2926 0.0898 0.0037 0.117 0.4616 484.8939 1.0041
"p((45, 3))_2" 0.2585 0.0875 0.0035 0.0978 0.4284 480.9967 1.0061
"p((45, 3))_3" 0.2526 0.0877 0.0035 0.0946 0.4251 484.7764 1.0064
"p((45, 3))_4" 0.2515 0.0876 0.0035 0.096 0.4251 485.8225 1.0064
"p((45, 3))_5" 0.2513 0.0876 0.0035 0.096 0.425 486.0889 1.0064
"p((45, 3))_6" 0.2513 0.0876 0.0035 0.096 0.4251 486.1561 1.0064
"p((45, 3))_7" 0.2513 0.0876 0.0035 0.096 0.4251 486.1729 1.0064
"p((45, 3))_8" 0.2513 0.0876 0.0035 0.096 0.4251 486.177 1.0064
"p((45, 3))_9" 0.2513 0.0876 0.0035 0.096 0.4251 486.178 1.0064
"p((45, 3))_10" 0.2513 0.0876 0.0035 0.096 0.4251 486.1783 1.0064
