 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(44, 1)" -0.0071 1.0053 0.0144 -1.9507 1.9584 5410.4815 1.0002
"p((44, 1))_0" 0.5013 0.2244 0.0027 0.105 0.9113 5891.3663 0.9997
"p((44, 1))_1" 0.5997 0.2055 0.0029 0.2187 0.9495 5674.8145 1.0
"p((44, 1))_2" 0.6136 0.2294 0.0032 0.1824 0.9662 5658.7521 1.0001
"p((44, 1))_3" 0.6156 0.2336 0.0033 0.1752 0.9665 5651.5289 1.0002
"p((44, 1))_4" 0.6159 0.2343 0.0033 0.174 0.9665 5649.0235 1.0002
"p((44, 1))_5" 0.616 0.2344 0.0033 0.1737 0.9665 5648.2976 1.0002
"p((44, 1))_6" 0.616 0.2345 0.0033 0.1735 0.9664 5648.1026 1.0002
"p((44, 1))_7" 0.616 0.2345 0.0033 0.1735 0.9664 5648.0522 1.0002
"p((44, 1))_8" 0.616 0.2345 0.0033 0.1735 0.9664 5648.0395 1.0002
"p((44, 1))_9" 0.616 0.2345 0.0033 0.1735 0.9664 5648.0364 1.0002
"p((44, 1))_10" 0.616 0.2345 0.0033 0.1735 0.9664 5648.0356 1.0002
