 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(42, 1)" -0.0196 1.0042 0.0133 -2.0483 1.8859 5932.3015 0.9998
"p((42, 1))_0" 0.5004 0.2253 0.0029 0.0899 0.8996 5731.0054 0.9999
"p((42, 1))_1" 0.5974 0.2059 0.0028 0.2093 0.9414 5844.1936 0.9998
"p((42, 1))_2" 0.6111 0.2302 0.0031 0.1832 0.9702 5820.494 0.9998
"p((42, 1))_3" 0.6131 0.2344 0.0032 0.1818 0.9741 5798.4958 0.9998
"p((42, 1))_4" 0.6135 0.2352 0.0032 0.1804 0.9739 5794.5216 0.9998
"p((42, 1))_5" 0.6135 0.2353 0.0032 0.1806 0.9741 5793.9913 0.9998
"p((42, 1))_6" 0.6135 0.2353 0.0032 0.1806 0.9741 5793.9509 0.9998
"p((42, 1))_7" 0.6135 0.2353 0.0032 0.1806 0.9741 5793.9577 0.9998
"p((42, 1))_8" 0.6135 0.2353 0.0032 0.1806 0.9741 5793.9624 0.9998
"p((42, 1))_9" 0.6135 0.2353 0.0032 0.1806 0.9741 5793.9641 0.9998
"p((42, 1))_10" 0.6135 0.2353 0.0032 0.1806 0.9741 5793.9647 0.9998
