 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(46, 3)" -1.1278 0.3833 0.0221 -1.8588 -0.4244 217.4324 1.0072
"p((46, 3))_0" 0.4852 0.2195 0.0116 0.0692 0.8871 237.5035 1.0043
"p((46, 3))_1" 0.3509 0.0938 0.0054 0.1877 0.5437 207.7943 1.0049
"p((46, 3))_2" 0.3232 0.096 0.0056 0.1492 0.5066 206.9202 1.0076
"p((46, 3))_3" 0.3178 0.0977 0.0057 0.1442 0.5062 208.0166 1.0083
"p((46, 3))_4" 0.3168 0.098 0.0057 0.1386 0.5011 208.3247 1.0085
"p((46, 3))_5" 0.3166 0.098 0.0057 0.1385 0.5013 208.3937 1.0085
"p((46, 3))_6" 0.3165 0.098 0.0057 0.1385 0.5012 208.4093 1.0085
"p((46, 3))_7" 0.3165 0.098 0.0057 0.1385 0.5013 208.413 1.0085
"p((46, 3))_8" 0.3165 0.098 0.0057 0.1385 0.5013 208.4139 1.0085
"p((46, 3))_9" 0.3165 0.098 0.0057 0.1385 0.5013 208.4141 1.0085
"p((46, 3))_10" 0.3165 0.098 0.0057 0.1385 0.5013 208.4142 1.0085
