 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(36, 1)" 0.007 0.989 0.0131 -1.8952 1.959 5764.1019 1.0
"p((36, 1))_0" 0.4982 0.2227 0.0032 0.1067 0.91 5832.2579 1.0005
"p((36, 1))_1" 0.6027 0.2031 0.0027 0.2182 0.946 5680.184 0.9998
"p((36, 1))_2" 0.6177 0.2263 0.003 0.1788 0.9629 5610.9086 0.9999
"p((36, 1))_3" 0.6199 0.2304 0.0031 0.1766 0.9676 5591.0684 0.9999
"p((36, 1))_4" 0.6203 0.2311 0.0031 0.176 0.9676 5586.0076 0.9999
"p((36, 1))_5" 0.6204 0.2312 0.0031 0.1759 0.9676 5584.7938 0.9999
"p((36, 1))_6" 0.6204 0.2312 0.0031 0.1759 0.9676 5584.5075 0.9999
"p((36, 1))_7" 0.6204 0.2313 0.0031 0.1759 0.9676 5584.4399 0.9999
"p((36, 1))_8" 0.6204 0.2313 0.0031 0.1759 0.9676 5584.4238 0.9999
"p((36, 1))_9" 0.6204 0.2313 0.0031 0.1759 0.9676 5584.42 0.9999
"p((36, 1))_10" 0.6204 0.2313 0.0031 0.1759 0.9676 5584.4191 0.9999
