 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(7, 1)" -1.6304 0.5552 0.0113 -2.7402 -0.5865 1908.2726 1.0004
"p((7, 1))_0" 0.4929 0.2235 0.0052 0.0944 0.9087 1982.4179 1.0005
"p((7, 1))_1" 0.2582 0.1061 0.0024 0.0638 0.4631 1564.201 1.0007
"p((7, 1))_2" 0.2209 0.1039 0.0024 0.0422 0.4185 1539.4698 1.0004
"p((7, 1))_3" 0.2151 0.1032 0.0024 0.0409 0.4145 1536.1898 1.0003
"p((7, 1))_4" 0.2141 0.103 0.0024 0.0424 0.4161 1535.6346 1.0003
"p((7, 1))_5" 0.2139 0.1029 0.0024 0.0404 0.4137 1535.6029 1.0003
"p((7, 1))_6" 0.2139 0.1029 0.0024 0.0404 0.4136 1535.6195 1.0003
"p((7, 1))_7" 0.2139 0.1029 0.0024 0.0404 0.4136 1535.6284 1.0003
"p((7, 1))_8" 0.2139 0.1029 0.0024 0.0404 0.4136 1535.6314 1.0003
"p((7, 1))_9" 0.2139 0.1029 0.0024 0.0404 0.4136 1535.6323 1.0003
"p((7, 1))_10" 0.2139 0.1029 0.0024 0.0404 0.4136 1535.6326 1.0003
