 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(48, 3)" -1.2337 0.3732 0.005 -1.9656 -0.5145 4886.3091 0.9999
"p((48, 3))_0" 0.4453 0.2159 0.0027 0.0622 0.8426 5553.168 1.0001
"p((48, 3))_1" 0.3189 0.0852 0.0011 0.17 0.492 5028.5274 1.0
"p((48, 3))_2" 0.2943 0.089 0.0012 0.1266 0.4641 4799.6682 0.9999
"p((48, 3))_3" 0.2898 0.0911 0.0012 0.1206 0.4641 4787.3979 0.9999
"p((48, 3))_4" 0.289 0.0915 0.0012 0.1183 0.4624 4780.3485 0.9999
"p((48, 3))_5" 0.2889 0.0915 0.0012 0.1194 0.4636 4778.0772 0.9999
"p((48, 3))_6" 0.2889 0.0915 0.0012 0.1194 0.4636 4777.4669 0.9999
"p((48, 3))_7" 0.2889 0.0916 0.0012 0.1194 0.4636 4777.3148 0.9999
"p((48, 3))_8" 0.2889 0.0916 0.0012 0.1194 0.4637 4777.2782 0.9999
"p((48, 3))_9" 0.2889 0.0916 0.0012 0.1194 0.4637 4777.2696 0.9999
"p((48, 3))_10" 0.2889 0.0916 0.0012 0.1194 0.4637 4777.2676 0.9999
