 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(62, 3)" 0.0177 1.0044 0.0149 -1.9587 2.0084 5238.9034 0.9999
"p((62, 3))_0" 0.501 0.2204 0.0026 0.107 0.9063 6171.2842 0.9997
"p((62, 3))_1" 0.6048 0.2046 0.0031 0.2174 0.9487 5432.2175 0.9998
"p((62, 3))_2" 0.6194 0.228 0.0035 0.1852 0.9687 5556.8856 0.9998
"p((62, 3))_3" 0.6215 0.232 0.0035 0.1915 0.9823 5592.5972 0.9998
"p((62, 3))_4" 0.6219 0.2327 0.0035 0.1803 0.9722 5601.0433 0.9998
"p((62, 3))_5" 0.622 0.2328 0.0035 0.1801 0.9722 5603.1036 0.9998
"p((62, 3))_6" 0.622 0.2328 0.0035 0.1801 0.9722 5603.6094 0.9998
"p((62, 3))_7" 0.622 0.2328 0.0035 0.1801 0.9722 5603.733 0.9998
"p((62, 3))_8" 0.622 0.2328 0.0035 0.1801 0.9722 5603.763 0.9998
"p((62, 3))_9" 0.622 0.2328 0.0035 0.1801 0.9722 5603.7703 0.9998
"p((62, 3))_10" 0.622 0.2328 0.0035 0.1801 0.9722 5603.772 0.9998
