 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(38, 3)" -1.9471 0.5901 0.0079 -3.1896 -0.8815 5858.0365 1.0004
"p((38, 3))_0" 0.4865 0.2239 0.003 0.0793 0.8874 5576.206 1.0007
"p((38, 3))_1" 0.2056 0.0948 0.0013 0.0398 0.3876 5839.9874 1.0013
"p((38, 3))_2" 0.168 0.0892 0.0012 0.0259 0.3419 5881.3457 1.0011
"p((38, 3))_3" 0.1631 0.0879 0.0011 0.0262 0.3362 5864.838 1.001
"p((38, 3))_4" 0.1624 0.0875 0.0011 0.0277 0.3361 5861.2896 1.001
"p((38, 3))_5" 0.1623 0.0875 0.0011 0.0277 0.3359 5860.7604 1.001
"p((38, 3))_6" 0.1623 0.0874 0.0011 0.0277 0.3359 5860.6905 1.001
"p((38, 3))_7" 0.1622 0.0874 0.0011 0.0277 0.3359 5860.682 1.001
"p((38, 3))_8" 0.1622 0.0874 0.0011 0.0277 0.3359 5860.681 1.001
"p((38, 3))_9" 0.1622 0.0874 0.0011 0.0277 0.3359 5860.6809 1.001
"p((38, 3))_10" 0.1622 0.0874 0.0011 0.0277 0.3359 5860.6809 1.001
