 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(61, 3)" 0.0027 1.0105 0.0129 -1.8266 2.0557 6071.4442 1.0002
"p((61, 3))_0" 0.499 0.2247 0.003 0.0902 0.9015 6027.991 0.9999
"p((61, 3))_1" 0.6009 0.2069 0.0026 0.2168 0.9461 6069.2023 1.0
"p((61, 3))_2" 0.6149 0.2304 0.003 0.196 0.9742 6063.3876 1.0001
"p((61, 3))_3" 0.6169 0.2345 0.003 0.183 0.9686 6054.9213 1.0001
"p((61, 3))_4" 0.6172 0.2352 0.0031 0.1847 0.9706 6052.8585 1.0001
"p((61, 3))_5" 0.6173 0.2354 0.0031 0.1846 0.9706 6052.4144 1.0001
"p((61, 3))_6" 0.6173 0.2354 0.0031 0.1846 0.9706 6052.3213 1.0001
"p((61, 3))_7" 0.6173 0.2354 0.0031 0.1846 0.9706 6052.3019 1.0001
"p((61, 3))_8" 0.6173 0.2354 0.0031 0.1846 0.9706 6052.2977 1.0001
"p((61, 3))_9" 0.6173 0.2354 0.0031 0.1846 0.9706 6052.2969 1.0001
"p((61, 3))_10" 0.6173 0.2354 0.0031 0.1846 0.9706 6052.2967 1.0001
