 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(41, 3)" -1.6943 0.4783 0.033 -2.6367 -0.7486 109.7075 1.0345
"p((41, 3))_0" 0.4945 0.1946 0.0145 0.0911 0.8173 35.1664 1.0972
"p((41, 3))_1" 0.2431 0.0866 0.0063 0.0854 0.416 77.3559 1.0636
"p((41, 3))_2" 0.2037 0.0843 0.0063 0.0452 0.3609 91.4832 1.0368
"p((41, 3))_3" 0.1978 0.0834 0.0062 0.0449 0.3574 89.7637 1.0339
"p((41, 3))_4" 0.1968 0.0831 0.0062 0.0517 0.3633 89.0785 1.0335
"p((41, 3))_5" 0.1967 0.083 0.0062 0.0515 0.3629 88.934 1.0334
"p((41, 3))_6" 0.1966 0.083 0.0062 0.0515 0.3628 88.9056 1.0334
"p((41, 3))_7" 0.1966 0.083 0.0062 0.0515 0.3627 88.9003 1.0334
"p((41, 3))_8" 0.1966 0.083 0.0062 0.0515 0.3627 88.8994 1.0334
"p((41, 3))_9" 0.1966 0.083 0.0062 0.0515 0.3627 88.8992 1.0334
"p((41, 3))_10" 0.1966 0.083 0.0062 0.0515 0.3627 88.8992 1.0334
