 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(26, 4)" 0.0052 1.0138 0.0125 -1.8694 2.0526 6269.797 1.0004
"p((26, 4))_0" 0.5054 0.2253 0.003 0.0962 0.9013 6253.803 1.0003
"p((26, 4))_1" 0.6026 0.2081 0.0025 0.2131 0.9407 6100.4919 1.0004
"p((26, 4))_2" 0.6156 0.2321 0.0028 0.1919 0.9732 6292.1246 1.0003
"p((26, 4))_3" 0.6174 0.2362 0.0028 0.1849 0.9724 6337.2121 1.0002
"p((26, 4))_4" 0.6177 0.237 0.0028 0.1851 0.9734 6346.8138 1.0002
"p((26, 4))_5" 0.6177 0.2371 0.0029 0.1851 0.9734 6349.1297 1.0002
"p((26, 4))_6" 0.6177 0.2371 0.0029 0.185 0.9734 6349.7081 1.0002
"p((26, 4))_7" 0.6177 0.2371 0.0029 0.185 0.9734 6349.8536 1.0002
"p((26, 4))_8" 0.6177 0.2371 0.0029 0.185 0.9734 6349.8902 1.0002
"p((26, 4))_9" 0.6177 0.2371 0.0029 0.185 0.9734 6349.8994 1.0002
"p((26, 4))_10" 0.6177 0.2371 0.0029 0.185 0.9734 6349.9017 1.0002
