 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(36, 3)" -1.2386 0.4657 0.0068 -2.1642 -0.362 5259.1159 0.9999
"p((36, 3))_0" 0.4964 0.2192 0.0026 0.0893 0.887 5823.9535 1.0
"p((36, 3))_1" 0.3317 0.1049 0.0015 0.1263 0.5277 5359.7333 0.9998
"p((36, 3))_2" 0.3001 0.1106 0.0016 0.1106 0.5217 5172.897 0.9998
"p((36, 3))_3" 0.2944 0.1124 0.0017 0.0928 0.5076 5116.8676 0.9998
"p((36, 3))_4" 0.2933 0.1126 0.0017 0.0911 0.5075 5102.0362 0.9998
"p((36, 3))_5" 0.2931 0.1127 0.0017 0.0918 0.5087 5098.511 0.9998
"p((36, 3))_6" 0.2931 0.1127 0.0017 0.0918 0.5087 5097.7105 0.9998
"p((36, 3))_7" 0.2931 0.1127 0.0017 0.0918 0.5088 5097.5317 0.9998
"p((36, 3))_8" 0.2931 0.1127 0.0017 0.0918 0.5088 5097.492 0.9998
"p((36, 3))_9" 0.2931 0.1127 0.0017 0.0918 0.5088 5097.4831 0.9998
"p((36, 3))_10" 0.2931 0.1127 0.0017 0.0918 0.5088 5097.4811 0.9998
