 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(67, 3)" -0.0155 1.0098 0.0135 -2.0314 1.9166 5878.3666 0.9999
"p((67, 3))_0" 0.5036 0.2236 0.0026 0.0815 0.8906 6082.0343 0.9997
"p((67, 3))_1" 0.5986 0.2076 0.0028 0.2046 0.9458 6090.4801 0.9999
"p((67, 3))_2" 0.6117 0.2309 0.0031 0.1845 0.9747 5980.2389 1.0
"p((67, 3))_3" 0.6136 0.235 0.0032 0.1796 0.9761 5956.2534 1.0
"p((67, 3))_4" 0.6139 0.2357 0.0032 0.1791 0.9761 5950.771 1.0
"p((67, 3))_5" 0.6139 0.2358 0.0032 0.1788 0.9759 5949.5256 1.0
"p((67, 3))_6" 0.6139 0.2358 0.0032 0.1788 0.9759 5949.2415 1.0
"p((67, 3))_7" 0.6139 0.2358 0.0032 0.1788 0.9759 5949.1762 1.0
"p((67, 3))_8" 0.6139 0.2358 0.0032 0.1788 0.9759 5949.161 1.0
"p((67, 3))_9" 0.6139 0.2358 0.0032 0.1788 0.9759 5949.1575 1.0
"p((67, 3))_10" 0.6139 0.2358 0.0032 0.1788 0.9759 5949.1567 1.0
