 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(32, 3)" -0.8218 0.4679 0.0179 -1.7539 0.0771 734.3757 1.0003
"p((32, 3))_0" 0.4637 0.2209 0.0066 0.0712 0.8589 991.1905 1.0005
"p((32, 3))_1" 0.4167 0.116 0.0045 0.1942 0.6401 679.294 1.0006
"p((32, 3))_2" 0.4074 0.1287 0.0051 0.1646 0.656 672.0405 1.0004
"p((32, 3))_3" 0.4058 0.133 0.0053 0.1653 0.6706 674.3875 1.0004
"p((32, 3))_4" 0.4055 0.134 0.0054 0.1646 0.6722 674.7808 1.0003
"p((32, 3))_5" 0.4054 0.1342 0.0054 0.1645 0.6727 674.835 1.0003
"p((32, 3))_6" 0.4054 0.1343 0.0054 0.1643 0.6727 674.8426 1.0003
"p((32, 3))_7" 0.4054 0.1343 0.0054 0.1637 0.6721 674.844 1.0003
"p((32, 3))_8" 0.4054 0.1343 0.0054 0.1637 0.6721 674.8443 1.0003
"p((32, 3))_9" 0.4054 0.1343 0.0054 0.1637 0.672 674.8444 1.0003
"p((32, 3))_10" 0.4054 0.1343 0.0054 0.1637 0.672 674.8444 1.0003
