 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(21, 3)" -0.4906 0.6174 0.0097 -1.6551 0.787 4394.523 1.0006
"p((21, 3))_0" 0.4734 0.2234 0.0036 0.0624 0.869 4000.0688 1.0004
"p((21, 3))_1" 0.496 0.1481 0.0022 0.213 0.7796 4510.9159 1.0006
"p((21, 3))_2" 0.5012 0.168 0.0026 0.1708 0.8026 4480.9837 1.0006
"p((21, 3))_3" 0.5023 0.1731 0.0027 0.1886 0.8342 4484.8876 1.0006
"p((21, 3))_4" 0.5026 0.1741 0.0027 0.1876 0.8351 4487.1147 1.0006
"p((21, 3))_5" 0.5026 0.1743 0.0028 0.1875 0.8352 4487.8171 1.0006
"p((21, 3))_6" 0.5026 0.1744 0.0028 0.1873 0.8351 4488.0097 1.0006
"p((21, 3))_7" 0.5026 0.1744 0.0028 0.1873 0.8351 4488.0595 1.0006
"p((21, 3))_8" 0.5026 0.1744 0.0028 0.1873 0.8351 4488.0721 1.0006
"p((21, 3))_9" 0.5026 0.1744 0.0028 0.1873 0.8351 4488.0752 1.0006
"p((21, 3))_10" 0.5026 0.1744 0.0028 0.1873 0.8351 4488.0759 1.0006
