 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(74, 3)" 0.0128 1.0037 0.0127 -1.8346 2.0478 6256.1269 0.9997
"p((74, 3))_0" 0.5046 0.2226 0.0029 0.0947 0.9022 5776.8508 1.0001
"p((74, 3))_1" 0.6046 0.2051 0.0026 0.2186 0.9467 6216.9026 0.9997
"p((74, 3))_2" 0.6185 0.2291 0.0028 0.1944 0.9745 6314.5281 0.9997
"p((74, 3))_3" 0.6205 0.2333 0.0029 0.1847 0.9725 6315.0107 0.9997
"p((74, 3))_4" 0.6208 0.234 0.0029 0.1873 0.976 6314.7421 0.9997
"p((74, 3))_5" 0.6208 0.2341 0.0029 0.1873 0.976 6314.7076 0.9997
"p((74, 3))_6" 0.6208 0.2342 0.0029 0.1873 0.976 6314.7121 0.9997
"p((74, 3))_7" 0.6208 0.2342 0.0029 0.1873 0.976 6314.716 0.9997
"p((74, 3))_8" 0.6208 0.2342 0.0029 0.1873 0.976 6314.7176 0.9997
"p((74, 3))_9" 0.6208 0.2342 0.0029 0.1873 0.976 6314.718 0.9997
"p((74, 3))_10" 0.6208 0.2342 0.0029 0.1873 0.976 6314.7182 0.9997
