 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(29, 3)" -1.2842 0.4249 0.0333 -2.134 -0.4132 92.8194 1.0328
"p((29, 3))_0" 0.5358 0.2064 0.0171 0.0991 0.8902 53.5743 1.0495
"p((29, 3))_1" 0.3286 0.0963 0.0076 0.1538 0.5237 99.5194 1.016
"p((29, 3))_2" 0.2883 0.1016 0.0081 0.107 0.4857 92.4087 1.0314
"p((29, 3))_3" 0.281 0.1031 0.0083 0.0991 0.4885 90.0241 1.0352
"p((29, 3))_4" 0.2797 0.1033 0.0083 0.1 0.4911 89.4466 1.036
"p((29, 3))_5" 0.2794 0.1034 0.0083 0.1 0.4913 89.309 1.0362
"p((29, 3))_6" 0.2794 0.1034 0.0083 0.1 0.4915 89.2763 1.0363
"p((29, 3))_7" 0.2794 0.1033 0.0083 0.1 0.4916 89.2686 1.0363
"p((29, 3))_8" 0.2794 0.1033 0.0083 0.1 0.4916 89.2667 1.0363
"p((29, 3))_9" 0.2794 0.1033 0.0083 0.1 0.4916 89.2663 1.0363
"p((29, 3))_10" 0.2794 0.1033 0.0083 0.1 0.4916 89.2661 1.0363
