 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(33, 1)" 0.0173 1.0029 0.0132 -2.0152 1.8811 6233.9722 0.9998
"p((33, 1))_0" 0.497 0.2239 0.0027 0.0773 0.8833 6471.7465 1.0007
"p((33, 1))_1" 0.6038 0.2062 0.0027 0.2232 0.9574 6289.3922 0.9999
"p((33, 1))_2" 0.6189 0.2293 0.0031 0.1874 0.973 6267.5951 0.9997
"p((33, 1))_3" 0.6211 0.2333 0.0031 0.1817 0.9735 6257.9477 0.9997
"p((33, 1))_4" 0.6215 0.234 0.0031 0.1806 0.9735 6255.1791 0.9997
"p((33, 1))_5" 0.6215 0.2341 0.0031 0.1806 0.9735 6254.5066 0.9997
"p((33, 1))_6" 0.6216 0.2341 0.0031 0.1806 0.9735 6254.3524 0.9997
"p((33, 1))_7" 0.6216 0.2341 0.0031 0.1806 0.9735 6254.3177 0.9997
"p((33, 1))_8" 0.6216 0.2341 0.0031 0.1806 0.9735 6254.31 0.9997
"p((33, 1))_9" 0.6216 0.2341 0.0031 0.1806 0.9735 6254.3082 0.9997
"p((33, 1))_10" 0.6216 0.2341 0.0031 0.1806 0.9735 6254.3078 0.9997
