 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(71, 3)" 0.0027 0.996 0.0129 -1.9297 2.0088 5714.4072 1.0
"p((71, 3))_0" 0.5012 0.2198 0.0031 0.093 0.891 5504.2736 1.0011
"p((71, 3))_1" 0.6016 0.2039 0.0026 0.2208 0.9492 5734.1418 1.0001
"p((71, 3))_2" 0.6159 0.2268 0.0029 0.1824 0.9641 5744.3295 1.0
"p((71, 3))_3" 0.618 0.2309 0.003 0.1848 0.9729 5737.6113 1.0
"p((71, 3))_4" 0.6184 0.2316 0.003 0.1796 0.9688 5735.184 1.0
"p((71, 3))_5" 0.6184 0.2317 0.003 0.1794 0.9688 5734.5334 1.0
"p((71, 3))_6" 0.6184 0.2317 0.003 0.1794 0.9688 5734.3709 1.0
"p((71, 3))_7" 0.6184 0.2317 0.003 0.1794 0.9688 5734.331 1.0
"p((71, 3))_8" 0.6184 0.2317 0.003 0.1794 0.9688 5734.3213 1.0
"p((71, 3))_9" 0.6184 0.2317 0.003 0.1794 0.9688 5734.3189 1.0
"p((71, 3))_10" 0.6184 0.2317 0.003 0.1794 0.9688 5734.3183 1.0
