 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(37, 1)" -0.0016 0.9897 0.0123 -1.9267 1.8853 5925.8776 1.0002
"p((37, 1))_0" 0.501 0.2253 0.0029 0.1005 0.9181 5720.7448 1.0
"p((37, 1))_1" 0.6008 0.2055 0.0025 0.2194 0.9423 6245.3281 1.0004
"p((37, 1))_2" 0.6149 0.2283 0.0028 0.1909 0.965 6067.1415 1.0003
"p((37, 1))_3" 0.617 0.2323 0.0029 0.1865 0.9684 6034.3258 1.0002
"p((37, 1))_4" 0.6173 0.233 0.0029 0.1855 0.9684 6027.3378 1.0002
"p((37, 1))_5" 0.6174 0.2331 0.0029 0.1853 0.9684 6025.7833 1.0002
"p((37, 1))_6" 0.6174 0.2332 0.0029 0.1852 0.9684 6025.4337 1.0002
"p((37, 1))_7" 0.6174 0.2332 0.0029 0.1852 0.9684 6025.3547 1.0002
"p((37, 1))_8" 0.6174 0.2332 0.0029 0.1852 0.9684 6025.3369 1.0002
"p((37, 1))_9" 0.6174 0.2332 0.0029 0.1852 0.9684 6025.3328 1.0002
"p((37, 1))_10" 0.6174 0.2332 0.0029 0.1852 0.9684 6025.3319 1.0002
